CSD refcode,CIF filename,original crystal system,Sohncke space group,Percentage void space,Charged framework,Hydrogen added,Unreliable chemistry
ABADUG,abadug_P1,triclinic,Yes,38.902,-,-,-
ABAVIJ,abavij_P1,monoclinic,-,17.073,-,-,-
ABAVOP,abavop_P1,monoclinic,-,15.729,-,-,-
ABAYIO,abayio_P1_charged,cubic,-,63.211,Yes,-,-
ABAZAF,abazaf_P1,monoclinic,-,22.679,-,-,-
ABAZAF01,abazaf01_P1,monoclinic,-,23.859,-,-,-
ABEDAQ,abedaq_P1,monoclinic,-,43.372,-,-,-
ABEDEU,abedeu_P1_H,orthorhombic,-,59.169,-,Yes,Yes
ABEFUL,abeful_P1_H,tetragonal,-,18.178,-,Yes,Yes
ABELAY,abelay_P1,tetragonal,-,36.314,-,-,-
ABELEC,abelec_P1,tetragonal,-,36.412,-,-,-
ABELIG,abelig_P1,tetragonal,-,36.668,-,-,-
ABELOM,abelom_P1,orthorhombic,-,48.78,-,-,-
ABELOM01,abelom01_P1,orthorhombic,-,48.871,-,-,-
ABETIN,abetin_P1_charged_H,tetragonal,-,18.69,Yes,Yes,-
ABEXEM,abexem_P1,orthorhombic,-,23.802,-,-,-
ABEXEN,abexen_P1_charged,hexagonal,-,68.138,Yes,-,-
ABEXIQ,abexiq_P1,orthorhombic,-,23.822,-,-,-
ABEXOW,abexow_P1,orthorhombic,-,23.251,-,-,-
ABEXUC,abexuc_P1,orthorhombic,-,23.273,-,-,-
ABEYAJ,abeyaj_P1,orthorhombic,-,23.311,-,-,-
ABEYEN,abeyen_P1,orthorhombic,-,23.571,-,-,-
ABEYIR,abeyir_P1,orthorhombic,-,22.621,-,-,-
ABIRAI,abirai_P1_H,cubic,-,10.428,-,Yes,-
ABIYIV,abiyiv_P1,orthorhombic,-,19.021,-,-,-
ABUHAJ,abuhaj_P1,monoclinic,-,10.615,-,-,-
ACAJOF,acajof_P1,orthorhombic,-,31.289,-,-,-
ACALEX,acalex_P1_H,monoclinic,-,10.003,-,Yes,-
ACALIB,acalib_P1_H,monoclinic,-,15.198,-,Yes,-
ACAZOX,acazox_P1_H,triclinic,-,31.467,-,Yes,Yes
ACEMAA,acemaa_P1,cubic,-,45.309,-,-,-
ACEMEE,acemee_P1_charged,cubic,-,56.15,Yes,-,-
ACEMII,acemii_P1,monoclinic,-,32.452,-,-,-
ACENIF,acenif_P1,orthorhombic,-,33.538,-,-,-
ACIBOE,aciboe_P1_H,tetragonal,-,43.586,-,Yes,Yes
ACICOH,acicoh_P1,monoclinic,-,33.489,-,-,-
ACIPIP,acipip_P1,orthorhombic,-,57.339,-,-,-
ACMPCD,acmpcd_P1_H,monoclinic,Yes,17.673,-,Yes,-
ACOBEC,acobec_P1_H,triclinic,-,10.633,-,Yes,-
ACODAA,acodaa_P1,tetragonal,-,53.801,-,-,-
ACODED,acoded_P1,orthorhombic,-,40.235,-,-,-
ACODON,acodon_P1_charged_H,monoclinic,-,47.741,Yes,Yes,Yes
ACOGEF,acogef_P1,monoclinic,-,38.142,-,-,-
ACOLIP,acolip_P1,monoclinic,-,37.294,-,-,-
ACOLUB,acolub_P1,monoclinic,-,44.489,-,-,-
ACUFEK,acufek_P1_H,rhombohedral,-,72.523,-,Yes,Yes
ACUHEO,acuheo_P1,triclinic,-,12.009,-,-,-
ACUREY,acurey_P1,orthorhombic,-,20.483,-,-,-
ACURUO,acuruo_P1,monoclinic,-,42.365,-,-,-
ACUTOI,acutoi_P1_H,orthorhombic,-,19.036,-,Yes,Yes
ACUXUU,acuxuu_P1,monoclinic,-,51.785,-,-,-
ACUYAB,acuyab_P1,monoclinic,-,58.172,-,-,-
ADABAK,adabak_P1,monoclinic,-,12.331,-,-,-
ADABAK01,adabak01_P1_H,monoclinic,-,12.968,-,Yes,-
ADABEO,adabeo_P1,monoclinic,-,11.902,-,-,-
ADABIS,adabis_P1,monoclinic,-,11.434,-,-,-
ADABUE,adabue_P1,monoclinic,-,19.763,-,-,-
ADAQAA,adaqaa_P1,orthorhombic,-,67.183,-,-,-
ADASIJ,adasij_P1_H,cubic,-,71.934,-,Yes,Yes
ADASOP,adasop_P1_H,tetragonal,-,63.347,-,Yes,Yes
ADATAC,adatac_P1_H,cubic,-,84.294,-,Yes,Yes
ADATIK,adatik_P1_H,tetragonal,-,82.224,-,Yes,Yes
ADATUW,adatuw_P1_charged,cubic,Yes,65.106,Yes,-,-
ADAXEK,adaxek_P1,monoclinic,-,37.63,-,-,-
ADAXIO,adaxio_P1,monoclinic,-,33.607,-,-,-
ADEGEY,adegey_P1_charged,monoclinic,-,51.264,Yes,-,-
ADILOR,adilor_P1,orthorhombic,Yes,12.412,-,-,-
ADINCU,adincu_P1_charged_H,orthorhombic,-,20.667,Yes,Yes,-
ADIPAI,adipai_P1_charged,cubic,-,44.621,Yes,-,-
ADIQAH,adiqah_P1,monoclinic,-,33.535,-,-,-
ADIQEL,adiqel_P1,monoclinic,-,32.439,-,-,-
ADOBAX,adobax_P1,tetragonal,-,31.389,-,-,-
ADOCAY,adocay_P1,tetragonal,-,30.088,-,-,-
ADOCEC,adocec_P1,tetragonal,-,30.205,-,-,-
ADOCIG,adocig_P1,tetragonal,-,30.216,-,-,-
ADODII,adodii_P1,monoclinic,Yes,35.542,-,-,-
ADODOO,adodoo_P1,monoclinic,Yes,32.147,-,-,-
ADODUU,adoduu_P1,monoclinic,Yes,32.008,-,-,-
ADOFOS,adofos_P1,orthorhombic,-,20.855,-,-,-
ADOGUZ,adoguz_P1_H,triclinic,-,38.561,-,Yes,Yes
ADOKEN,adoken_P1,monoclinic,-,17.134,-,-,-
ADOKOX,adokox_P1,monoclinic,-,24.067,-,-,-
ADONIT,adonit_P1,orthorhombic,-,16.793,-,-,-
ADOSUL,adosul_P1_H,monoclinic,-,40.471,-,Yes,-
ADUJER,adujer_P1,cubic,-,75.503,-,-,-
ADULIX,adulix_P1,orthorhombic,Yes,11.655,-,-,-
ADUROI,aduroi_P1_H,cubic,-,78.65,-,Yes,-
ADUWIH,aduwih_P1_H,cubic,-,61.597,-,Yes,Yes
ADUWON,aduwon_P1_charged_H,cubic,-,72.399,Yes,Yes,Yes
AFADAN,afadan_P1_charged,rhombohedral,-,33.739,Yes,-,-
AFECIY,afeciy_P1,monoclinic,-,16.483,-,-,-
AFECIY01,afeciy01_P1,monoclinic,-,16.161,-,-,-
AFEHUO,afehuo_P1,tetragonal,-,56.341,-,-,-
AFENEE,afenee_P1_charged,orthorhombic,-,12.814,Yes,-,-
AFENUX,afenux_P1,monoclinic,Yes,22.864,-,-,-
AFIPAH,afipah_P1_H,orthorhombic,-,12.4,-,Yes,Yes
AFITEP,afitep_P1,monoclinic,-,36.652,-,-,-
AFITIT,afitit_P1,monoclinic,Yes,39.674,-,-,-
AFOQUI,afoqui_P1,orthorhombic,-,16.535,-,-,-
AFOROD,aforod_P1,monoclinic,-,14.103,-,-,-
AFOTOF,afotof_P1,monoclinic,Yes,45.932,-,-,-
AFOTUL,afotul_P1,monoclinic,Yes,46.222,-,-,-
AFOVAT,afovat_P1,monoclinic,Yes,45.01,-,-,-
AFOVEX,afovex_P1,monoclinic,Yes,46.306,-,-,-
AFOVIB,afovib_P1,monoclinic,Yes,45.551,-,-,-
AFOVOH,afovoh_P1,monoclinic,Yes,45.991,-,-,-
AFOWOK,afowok_P1,tetragonal,-,24.569,-,-,-
AFOYEB,afoyeb_P1_H,tetragonal,Yes,18.588,-,Yes,-
AFUKAP,afukap_P1,monoclinic,-,44.185,-,-,-
AFUKET,afuket_P1,orthorhombic,-,43.548,-,-,-
AFUVUV,afuvuv_P1_charged,monoclinic,-,31.72,Yes,-,-
AGABIU,agabiu_P1_charged_H,hexagonal,-,54.099,Yes,Yes,Yes
AGARUW,agaruw_P1,orthorhombic,-,30.809,-,-,-
AGEDIC,agedic_P1,monoclinic,-,46.329,-,-,-
AGEGUR,agegur_P1,triclinic,-,11.595,-,-,-
AGEQEK,ageqek_P1,monoclinic,-,24.917,-,-,-
AGESIP,agesip_P1_H,monoclinic,-,24.339,-,Yes,Yes
AGIMIO,agimio_P1,orthorhombic,-,20.575,-,-,-
AGIMOU,agimou_P1,monoclinic,-,16.993,-,-,-
AGOFEJ,agofej_P1_charged_H,monoclinic,-,67.048,Yes,Yes,-
AGOVID,agovid_P1_charged,cubic,-,72.121,Yes,-,-
AGOWAW,agowaw_P1_charged,cubic,Yes,67.571,Yes,-,-
AGOWEA,agowea_P1_charged,cubic,-,53.483,Yes,-,-
AGOZED,agozed_P1,monoclinic,-,16.944,-,-,-
AGUWUV,aguwuv_P1,triclinic,-,15.348,-,-,-
AHADUJ,ahaduj_P1,monoclinic,-,17.594,-,-,-
AHAFAR,ahafar_P1,monoclinic,-,11.982,-,-,-
AHAFEV,ahafev_P1,monoclinic,-,23.499,-,-,-
AHEBAS,ahebas_P1_H,monoclinic,Yes,31.179,-,Yes,-
AHEQAH,aheqah_P1_H,orthorhombic,-,63.422,-,Yes,Yes
AHETAK,ahetak_P1,tetragonal,-,53.702,-,-,-
AHINIP,ahinip_P1,monoclinic,Yes,18.202,-,-,-
AHISUI,ahisui_P1,monoclinic,-,19.741,-,-,-
AHITAP,ahitap_P1,monoclinic,-,18.56,-,-,-
AHITET,ahitet_P1,monoclinic,-,19.298,-,-,-
AHOBIK,ahobik_P1,monoclinic,-,11.855,-,-,-
AHOKIR01,ahokir01_P1,monoclinic,-,23.404,-,-,-
AHUJEV,ahujev_P1,orthorhombic,Yes,26.176,-,-,-
AHUTIH,ahutih_P1,monoclinic,-,14.726,-,-,-
AJABIX,ajabix_P1,rhombohedral,-,31.107,-,-,-
AJABIX01,ajabix01_P1,rhombohedral,-,32.364,-,-,-
AJABOD,ajabod_P1,rhombohedral,-,31.482,-,-,-
AJAGOI,ajagoi_P1,triclinic,-,27.188,-,-,-
AJAKON,ajakon_P1_H,monoclinic,-,30.881,-,Yes,Yes
AJAYIT,ajayit_P1,trigonal,-,27.792,-,-,-
AJEKIL,ajekil_P1,orthorhombic,Yes,12.026,-,-,-
AJIDOP,ajidop_P1,triclinic,-,43.989,-,-,-
AJIFAD,ajifad_P1,triclinic,-,34.586,-,-,-
AJIFUX,ajifux_P1,triclinic,-,35.724,-,-,-
AJIGIL,ajigil_P1_H,orthorhombic,Yes,22.32,-,Yes,-
AJIMEN,ajimen_P1,triclinic,-,39.554,-,-,-
AJOCOU,ajocou_P1_charged,monoclinic,-,14.592,Yes,-,-
AJOVEB,ajoveb_P1,rhombohedral,-,14.527,-,-,-
AJUHOF,ajuhof_P1_H,monoclinic,-,51.474,-,Yes,-
AJUHUL,ajuhul_P1_H,monoclinic,-,52.335,-,Yes,-
AJUNOK,ajunok_P1,orthorhombic,-,23.399,-,-,-
AJUPAY,ajupay_P1,orthorhombic,-,15.134,-,-,-
AKAKIJ,akakij_P1,trigonal,Yes,26.854,-,-,-
AKAYIV,akayiv_P1,monoclinic,-,40.187,-,-,-
AKEDIF,akedif_P1,monoclinic,-,44.142,-,-,-
AKEKIN,akekin_P1,cubic,-,77.74,-,-,-
AKEPOY,akepoy_P1,orthorhombic,-,42.174,-,-,-
AKOBAF,akobaf_P1_charged_H,monoclinic,-,10.358,Yes,Yes,Yes
AKOJAO,akojao_P1,monoclinic,-,42.055,-,-,-
AKORUQ,akoruq_P1,triclinic,-,26.174,-,-,-
AKUKUO,akukuo_P1,triclinic,-,33.697,-,-,-
ALAHUS,alahus_P1_H,tetragonal,-,38.908,-,Yes,Yes
ALAJOP,alajop_P1_H,triclinic,-,47.922,-,Yes,-
ALAJOP01,alajop01_P1_H,triclinic,-,69.371,-,Yes,-
ALAMUW,alamuw_P1,rhombohedral,-,62.215,-,-,-
ALANAD,alanad_P1,orthorhombic,-,49.014,-,-,-
ALECAY,alecay_P1_charged,tetragonal,Yes,83.932,Yes,-,-
ALEJAE,alejae_P1_H,trigonal,Yes,87.927,-,Yes,Yes
ALEJEI,alejei_P1_H,tetragonal,-,73.72,-,Yes,Yes
ALEJIM,alejim_P1_H,tetragonal,-,74.072,-,Yes,Yes
ALICEE,alicee_P1_charged,tetragonal,Yes,39.413,Yes,-,-
ALICII,alicii_P1_charged,tetragonal,Yes,43.023,Yes,-,-
ALIXID,alixid_P1_charged,orthorhombic,-,37.603,Yes,-,-
ALIXOJ,alixoj_P1,monoclinic,-,25.954,-,-,-
ALIXUP,alixup_P1_H,orthorhombic,-,21.979,-,Yes,-
ALOLES,aloles_P1_charged_H,monoclinic,-,21.652,Yes,Yes,Yes
ALOLIY,aloliy_P1_charged,monoclinic,-,14.345,Yes,-,-
ALOVAB,alovab_P1,monoclinic,-,52.621,-,-,-
ALOYEI,aloyei_P1_H,monoclinic,-,13.468,-,Yes,-
ALUDIX,aludix_P1_H,trigonal,Yes,54.115,-,Yes,-
ALUKIC,alukic_P1,monoclinic,-,64.621,-,-,-
ALUKOI,alukoi_P1,monoclinic,-,64.663,-,-,-
ALUKUO,alukuo_P1,monoclinic,-,64.642,-,-,-
ALULAV,alulav_P1,monoclinic,-,64.545,-,-,-
ALULID,alulid_P1,triclinic,-,53.94,-,-,-
ALURAB,alurab_P1_charged,orthorhombic,Yes,37.684,Yes,-,-
ALURAD,alurad_P1,tetragonal,Yes,48.266,-,-,-
ALUREF,aluref_P1_charged,orthorhombic,Yes,37.699,Yes,-,-
ALUREH,alureh_P1,tetragonal,Yes,48.252,-,-,-
ALURIJ,alurij_P1_charged,orthorhombic,Yes,36.922,Yes,-,-
ALURIL,aluril_P1,tetragonal,Yes,44.447,-,-,-
AMAFOK,amafok_P1,rhombohedral,-,27.774,-,-,-
AMAFUQ,amafuq_P1,rhombohedral,-,28.282,-,-,-
AMAGAX,amagax_P1,rhombohedral,-,29.761,-,-,-
AMAVIW,amaviw_P1,monoclinic,-,27.144,-,-,-
AMAVOC,amavoc_P1,orthorhombic,-,14.219,-,-,-
AMEJIM,amejim_P1_charged_H,rhombohedral,-,30.193,Yes,Yes,-
AMILOY,amiloy_P1,monoclinic,-,40.064,-,-,-
AMILUE,amilue_P1,monoclinic,-,40.518,-,-,-
AMIMAL,amimal_P1,monoclinic,-,40.152,-,-,-
AMIMEP,amimep_P1,monoclinic,-,40.525,-,-,-
AMIYIG,amiyig_P1_charged,trigonal,-,26.386,Yes,-,-
AMIZAZ,amizaz_P1_charged,trigonal,-,26.496,Yes,-,-
AMIZAZ01,amizaz01_P1_charged,trigonal,-,26.647,Yes,-,-
AMIZAZ02,amizaz02_P1_charged,trigonal,-,25.802,Yes,-,-
AMIZEC,amizec_P1_H,orthorhombic,-,15.488,-,Yes,-
AMOBAI,amobai_P1_charged,monoclinic,-,29.08,Yes,-,-
AMOBEL02,amobel02_P1_charged,trigonal,-,26.094,Yes,-,-
AMOFAK,amofak_P1,orthorhombic,Yes,63.773,-,-,-
AMOGEP,amogep_P1,tetragonal,-,11.766,-,-,-
AMOGIV,amogiv_P1,tetragonal,Yes,49.495,-,-,-
AMOGIV01,amogiv01_P1,tetragonal,Yes,49.495,-,-,-
AMOGOB,amogob_P1,tetragonal,Yes,49.495,-,-,-
AMOGUH,amoguh_P1,tetragonal,Yes,49.558,-,-,-
AMOHES,amohes_P1,tetragonal,Yes,49.54,-,-,-
AMOHIW,amohiw_P1,tetragonal,Yes,50.585,-,-,-
AMOHOC,amohoc_P1,tetragonal,Yes,50.591,-,-,-
AMOHOC01,amohoc01_P1,tetragonal,Yes,50.621,-,-,-
AMOHUI,amohui_P1,tetragonal,Yes,50.344,-,-,-
AMOJAQ,amojaq_P1,tetragonal,Yes,50.646,-,-,-
AMOJEU,amojeu_P1,tetragonal,Yes,50.609,-,-,-
AMOJIY,amojiy_P1,tetragonal,Yes,50.46,-,-,-
AMOJUK,amojuk_P1,tetragonal,Yes,49.178,-,-,-
AMOKEV,amokev_P1,tetragonal,Yes,48.966,-,-,-
AMOKIZ,amokiz_P1,tetragonal,Yes,49.861,-,-,-
AMOMUM,amomum_P1_charged,trigonal,-,25.875,Yes,-,-
AMONAT,amonat_P1_charged,trigonal,-,25.948,Yes,-,-
AMOYOR,amoyor_P1,monoclinic,-,23.72,-,-,-
AMUFIZ,amufiz_P1,triclinic,-,15.696,-,-,-
AMUFOF,amufof_P1,triclinic,-,29.929,-,-,-
AMUFUM,amufum_P1,monoclinic,-,31.118,-,-,-
AMUPOP,amupop_P1,monoclinic,-,18.634,-,-,-
AMURUX02,amurux02_P1_charged,trigonal,-,28.489,Yes,-,-
AMURUX10,amurux10_P1_charged,trigonal,-,28.489,Yes,-,-
AMURUX11,amurux11_P1_charged,trigonal,-,28.489,Yes,-,-
AMUVAI,amuvai_P1_charged_H,rhombohedral,-,69.239,Yes,Yes,Yes
AMUWIP,amuwip_P1_charged,orthorhombic,-,32.992,Yes,-,-
AMUWUB,amuwub_P1_H,triclinic,-,50.345,-,Yes,-
AMUXAI,amuxai_P1_charged_H,triclinic,-,38.659,Yes,Yes,-
AMUXEO,amuxeo_P1,triclinic,-,17.3,-,-,-
ANAKUX,anakux_P1,triclinic,-,20.6,-,-,-
ANANAH,ananah_P1,tetragonal,Yes,16.916,-,-,-
ANAWIX,anawix_P1,monoclinic,-,37.038,-,-,-
ANAWOD,anawod_P1,orthorhombic,-,47.147,-,-,-
ANEHEI,anehei_P1_H,triclinic,-,33.829,-,Yes,Yes
ANEKUC,anekuc_P1,monoclinic,-,54.004,-,-,-
ANOMIC,anomic_P1_H,monoclinic,Yes,35.652,-,Yes,-
ANUGEW,anugew_P1_H,orthorhombic,-,79.363,-,Yes,Yes
ANUGIA,anugia_P1_H,rhombohedral,-,73.665,-,Yes,Yes
ANUGOG,anugog_P1_H,orthorhombic,-,72.488,-,Yes,Yes
ANUGUM,anugum_P1,monoclinic,-,69.992,-,-,-
ANUNIJ,anunij_P1,monoclinic,-,26.445,-,-,-
ANUNUV,anunuv_P1,orthorhombic,-,41.768,-,-,-
APAYIB,apayib_P1,monoclinic,-,45.437,-,-,-
APAYOH,apayoh_P1,monoclinic,-,47.169,-,-,-
APAYUN,apayun_P1,monoclinic,-,44.901,-,-,-
APAZAU,apazau_P1,monoclinic,-,50.59,-,-,-
APAZEY,apazey_P1,monoclinic,-,51.334,-,-,-
APAZIC,apazic_P1,monoclinic,-,52.969,-,-,-
APAZOI,apazoi_P1,monoclinic,-,44.198,-,-,-
APEBEE,apebee_P1,triclinic,-,11.049,-,-,-
APOBEP,apobep_P1_charged,hexagonal,-,29.298,Yes,-,-
APUVIS,apuvis_P1,hexagonal,Yes,39.89,-,-,-
APUZUJ,apuzuj_P1,rhombohedral,-,19.777,-,-,-
AQABEC,aqabec_P1,monoclinic,-,23.918,-,-,-
AQAGEH,aqageh_P1_charged_H,triclinic,-,25.549,Yes,Yes,Yes
AQAJEI,aqajei_P1,orthorhombic,-,37.26,-,-,-
AQIROJ,aqiroj_P1,monoclinic,-,32.381,-,-,-
AQIXUV,aqixuv_P1_charged,triclinic,-,33.517,Yes,-,-
AQODOA,aqodoa_P1,monoclinic,-,10.238,-,-,-
AQUBIA,aqubia_P1,orthorhombic,-,26.885,-,-,-
AQUCOG,aqucog_P1,rhombohedral,-,59.108,-,-,-
AQUCUM,aqucum_P1,rhombohedral,-,59.69,-,-,-
AQUDAT,aqudat_P1,monoclinic,-,12.616,-,-,-
AQUDEX,aqudex_P1,monoclinic,-,12.862,-,-,-
AQUDIB,aqudib_P1,rhombohedral,-,58.966,-,-,-
AQUDOH,aqudoh_P1,monoclinic,-,12.91,-,-,-
ARADEE,aradee_P1_charged,monoclinic,-,34.999,Yes,-,-
ARAGOR,aragor_P1_H,monoclinic,-,15.816,-,Yes,Yes
ARAJEK,arajek_P1,tetragonal,Yes,35.072,-,-,-
ARAJIO,arajio_P1,tetragonal,Yes,36.01,-,-,-
ARAJOU,arajou_P1,tetragonal,Yes,34.366,-,-,-
ARAKAH,arakah_P1,tetragonal,Yes,35.821,-,-,-
ARAWEW,arawew_P1,orthorhombic,-,33.306,-,-,-
ARAZOL,arazol_P1,triclinic,-,35.803,-,-,-
ARECOS,arecos_P1_H,monoclinic,-,10.164,-,Yes,-
AREHUD,arehud_P1,monoclinic,-,26.098,-,-,-
ARINUL,arinul_P1_charged,tetragonal,-,11.788,Yes,-,-
ARIQIE,ariqie_P1,monoclinic,-,31.427,-,-,-
AROFAP,arofap_P1_H,triclinic,Yes,40.662,-,Yes,-
AROFET,arofet_P1_H,triclinic,-,59.299,-,Yes,-
AROHOH,arohoh_P1,monoclinic,-,62.652,-,-,-
AROQAB,aroqab_P1_charged,monoclinic,-,13.658,Yes,-,-
ARUCIB,arucib_P1,monoclinic,-,26.703,-,-,-
ARUCOH01,arucoh01_P1,monoclinic,-,28.235,-,-,-
ARUCUN,arucun_P1_H,triclinic,-,29.168,-,Yes,-
ARUDAU,arudau_P1_H,triclinic,-,30.185,-,Yes,-
ARUPUB,arupub_P1,monoclinic,-,33.162,-,-,-
ASACON,asacon_P1,orthorhombic,-,29.669,-,-,-
ASAHEJ,asahej_P1,triclinic,-,35.378,-,-,-
ASAMUE,asamue_P1_H,orthorhombic,-,24.915,-,Yes,-
ASEPOG,asepog_P1,monoclinic,-,21.72,-,-,-
ASINAT,asinat_P1,triclinic,-,56.72,-,-,-
ASINEX,asinex_P1,orthorhombic,-,60.427,-,-,-
ASINIB,asinib_P1,orthorhombic,-,60.265,-,-,-
ASIQEA,asiqea_P1_charged,tetragonal,-,45.194,Yes,-,-
ASIQIE,asiqie_P1_charged,tetragonal,-,45.727,Yes,-,-
ASITAA,asitaa_P1_charged,triclinic,-,14.959,Yes,-,-
ASOLUS,asolus_P1_charged,monoclinic,-,10.252,Yes,-,-
ASOMAZ,asomaz_P1_charged,monoclinic,-,38.527,Yes,-,-
ASOYOY,asoyoy_P1,tetragonal,Yes,42.919,-,-,-
ASOZAM,asozam_P1,monoclinic,-,48.005,-,-,-
ASUBIB,asubib_P1,triclinic,-,19.496,-,-,-
ASUGIH,asugih_P1,monoclinic,-,22.579,-,-,-
ASUJIJ,asujij_P1_charged,monoclinic,-,29.6,Yes,-,-
ASUWUI,asuwui_P1,triclinic,-,32.13,-,-,-
ATAHUA,atahua_P1,orthorhombic,Yes,21.529,-,-,-
ATAJAI,atajai_P1,monoclinic,Yes,36.544,-,-,-
ATEBEI,atebei_P1,monoclinic,-,15.921,-,-,-
ATEYED,ateyed_P1_charged_H,monoclinic,-,25.229,Yes,Yes,Yes
ATEYOP,ateyop_P1_charged,orthorhombic,-,64.556,Yes,-,-
ATEYUV,ateyuv_P1_charged,orthorhombic,-,64.031,Yes,-,-
ATEZAC,atezac_P1_charged,monoclinic,-,68.959,Yes,-,-
ATIBAG,atibag_P1,monoclinic,-,31.337,-,-,-
ATIBOU,atibou_P1,monoclinic,-,31.135,-,-,-
ATIBOU01,atibou01_P1,monoclinic,-,32.254,-,-,-
ATIBOU02,atibou02_P1,monoclinic,-,32.409,-,-,-
ATIBUA,atibua_P1,monoclinic,-,30.662,-,-,-
ATICAH,aticah_P1,monoclinic,-,33.568,-,-,-
ATICEL,aticel_P1,monoclinic,-,32.5,-,-,-
ATIFIV,atifiv_P1_H,monoclinic,-,10.106,-,Yes,-
ATIGUI,atigui_P1,monoclinic,-,20.972,-,-,-
ATIXUX,atixux_P1_charged,orthorhombic,-,35.197,Yes,-,-
ATOBIW,atobiw_P1,monoclinic,-,36.136,-,-,-
ATOBOC,atoboc_P1,monoclinic,-,18.322,-,-,-
ATOGUO,atoguo_P1,orthorhombic,Yes,18.359,-,-,-
ATOMEE,atomee_P1,monoclinic,-,10.78,-,-,-
ATOTIM,atotim_P1,orthorhombic,-,60.073,-,-,-
ATOWIQ,atowiq_P1,monoclinic,-,60.023,-,-,-
ATOWOW,atowow_P1,monoclinic,-,60.036,-,-,-
ATOXEN,atoxen_P1,triclinic,-,25.364,-,-,-
ATURIS,aturis_P1_charged,orthorhombic,Yes,75.5,Yes,-,-
ATUXOE,atuxoe_P1_charged_H,triclinic,-,13.24,Yes,Yes,-
ATUXUK,atuxuk_P1_charged_H,triclinic,-,12.892,Yes,Yes,-
ATUYAR,atuyar_P1_charged_H,triclinic,-,13.013,Yes,Yes,-
AVAJUE02,avajue02_P1_H,cubic,Yes,91.706,-,Yes,Yes
AVAKAL02,avakal02_P1_H,cubic,-,89.812,-,Yes,Yes
AVAKEP02,avakep02_P1_H,cubic,-,87.459,-,Yes,Yes
AVAQIX,avaqix_P1,orthorhombic,-,32.854,-,-,-
AVAQIX01,avaqix01_P1,orthorhombic,-,31.61,-,-,-
AVASUM,avasum_P1,monoclinic,-,12.269,-,-,-
AVEBUB,avebub_P1_charged,orthorhombic,-,65.986,Yes,-,-
AVEBUB01,avebub01_P1_charged,monoclinic,-,41.411,Yes,-,-
AVEHAM,aveham_P1,monoclinic,-,21.879,-,-,-
AVELOD,avelod_P1_H,tetragonal,-,45.982,-,Yes,-
AVEMAQ,avemaq_P1_H,tetragonal,-,43.967,-,Yes,-
AVEQID,aveqid_P1_H,monoclinic,-,61.123,-,Yes,Yes
AVEROJ,averoj_P1,hexagonal,Yes,50.059,-,-,-
AVESOL,avesol_P1,monoclinic,-,57.128,-,-,-
AVETEC01,avetec01_P1_charged,tetragonal,-,53.896,Yes,-,-
AVEZIN,avezin_P1,orthorhombic,-,25.398,-,-,-
AVIHIY,avihiy_P1_H,tetragonal,Yes,39.609,-,Yes,-
AVIHOE,avihoe_P1_H,tetragonal,Yes,39.341,-,Yes,Yes
AVIMOI,avimoi_P1,monoclinic,-,28.027,-,-,-
AVIMUO,avimuo_P1,monoclinic,-,24.69,-,-,-
AVIPOL,avipol_P1,monoclinic,-,29.735,-,-,-
AVIRIJ,avirij_P1_H,triclinic,-,12.059,-,Yes,-
AVIVAC,avivac_P1_charged,tetragonal,-,59.188,Yes,-,-
AVIVEG,aviveg_P1_charged,tetragonal,-,59.336,Yes,-,-
AVIVIK,avivik_P1_charged,tetragonal,-,41.978,Yes,-,-
AVIVOQ,avivoq_P1_charged,tetragonal,-,64.402,Yes,-,-
AVIVUW,avivuw_P1_charged,tetragonal,-,55.574,Yes,-,-
AVOMUW,avomuw_P1,tetragonal,-,36.804,-,-,-
AVONUX,avonux_P1,tetragonal,-,37.409,-,-,-
AVOREL,avorel_P1_H,monoclinic,-,19.527,-,Yes,-
AVUCEA,avucea_P1_H,rhombohedral,-,24.664,-,Yes,-
AVUDAX,avudax_P1,monoclinic,-,34.079,-,-,-
AVUJAF,avujaf_P1,triclinic,-,36.729,-,-,-
AVUJUZ,avujuz_P1,triclinic,-,37.874,-,-,-
AVUKEK,avukek_P1,triclinic,-,37.225,-,-,-
AVUPEP,avupep_P1,cubic,Yes,73.072,-,-,-
AVUPIR,avupir_P1_H,rhombohedral,-,31.303,-,Yes,-
AVUYEY,avuyey_P1,cubic,Yes,64.502,-,-,-
AWAGOV,awagov_P1_charged,tetragonal,-,15.904,Yes,-,-
AWAKEQ,awakeq_P1_H,monoclinic,-,18.362,-,Yes,-
AWASAU,awasau_P1_H,monoclinic,-,17.39,-,Yes,-
AWASEY,awasey_P1_H,monoclinic,-,63.1,-,Yes,Yes
AWATAV,awatav_P1,tetragonal,-,22.563,-,-,-
AWEDOW,awedow_P1_charged,orthorhombic,-,31.074,Yes,-,-
AWEGEP,awegep_P1_H,orthorhombic,-,32.894,-,Yes,Yes
AWEJIW,awejiw_P1,triclinic,-,39.227,-,-,-
AWEVIJ,awevij_P1_charged_H,monoclinic,-,47.121,Yes,Yes,-
AWEXOR,awexor_P1,monoclinic,-,31.463,-,-,-
AWEXUX,awexux_P1,monoclinic,-,32.25,-,-,-
AWIBAL,awibal_P1,triclinic,-,29.082,-,-,-
AXABUZ,axabuz_P1,orthorhombic,Yes,38.136,-,-,-
