CSD refcode,CIF filename
DOPHUN,dophun_P1_H
DORNAB,dornab_P1_H
DOZCEC,dozcec_P1_charged_H
DOZKIO,dozkio_P1_H
DUFJOG,dufjog_P1_H
DUFKAS,dufkas_P1_charged_H
DUFZOU,dufzou_P1_H
DUFZUA,dufzua_P1_H
DUGBAJ,dugbaj_P1_H
DUPJAB,dupjab_P1_charged_H
DUQNIP,duqnip_P1_H
DURCAX,durcax_P1_H
DURCOL,durcol_P1_H
DUVNOA,duvnoa_P1_H
DUVQET,duvqet_P1_H
DUVQUJ,duvquj_P1_H
DUXSIA,duxsia_P1_H
DUZKAM,duzkam_P1_charged_H
EBEWIT,ebewit_P1_H
EBEXAM,ebexam_P1_H
EBIHEE,ebihee_P1_H
EBOTOF,ebotof_P1_H
EBUKUL,ebukul_P1_H
EBUVAA,ebuvaa_P1_H
ECEZAO,ecezao_P1_H
ECEZAO01,ecezao01_P1_H
ECINUC,ecinuc_P1_H
ECOKAJ,ecokaj_P1_H
EDEPAG,edepag_P1_H
EDOVEA,edovea_P1_charged_H
EDOVIE,edovie_P1_charged_H
EGAFOJ,egafoj_P1_H
EGAFUP,egafup_P1_H
EGAGAW,egagaw_P1_H
EJIPUL,ejipul_P1_charged_H
EJIQAS,ejiqas_P1_charged_H
EJOQUR,ejoqur_P1_H
EJORAY,ejoray_P1_H
EKEQIV,ekeqiv_P1_H
EKOLAU,ekolau_P1_H
ELERIY,eleriy_P1_H
ELUTIR,elutir_P1_H
EMIPUO,emipuo_P1_H
EMUBIZ,emubiz_P1_H
ENAFAB,enafab_P1_H
ENESOH,enesoh_P1_charged_H
ENESUN,enesun_P1_charged_H
ENEXIH,enexih_P1_H
ENIHUG01,enihug01_P1_H
ENISOK,enisok_P1_H
ENITAX,enitax_P1_H
EPISOM,episom_P1_H
EPOTAF,epotaf_P1_H
EQERAU,eqerau_P1_H
EQUNIP,equnip_P1_charged_H
EQUYOH,equyoh_P1_H
ERAMER,eramer_P1_H
ERAMES,erames_P1_H
EROBIZ,erobiz_P1_H
EROJUT,erojut_P1_charged_H
ETETAB,etetab_P1_charged_H
ETETEF,etetef_P1_H
ETOVIV,etoviv_P1_H
EVOHOM,evohom_P1_H
EXAXAE,exaxae_P1_H
EXAXAE03,exaxae03_P1_H
EXOTOB,exotob_P1_H
EXOZIB,exozib_P1_H
FAFGAU,fafgau_P1_H
FAFMAA,fafmaa_P1_H
FAFMEE,fafmee_P1_H
FAHFUR,fahfur_P1_charged_H
FAHPOV,fahpov_P1_H
FAHTUE,fahtue_P1_H
FAHVAM,fahvam_P1_H
FAKMIR,fakmir_P1_H
FAKMOX,fakmox_P1_charged_H
FALVOF,falvof_P1_charged_H
FALVOF01,falvof01_P1_charged_H
FALVUL,falvul_P1_H
FALVUL01,falvul01_P1_H
FALVUL02,falvul02_P1_charged_H
FAMSUH,famsuh_P1_H
FAMTAO,famtao_P1_H
FANCIJ,fancij_P1
FAQYUR,faqyur_P1_H
FASFOX,fasfox_P1_H
FASFUD,fasfud_P1_H
FASGAK,fasgak_P1_H
FAXLEY,faxley_P1_H
FECXAO,fecxao_P1_H
FECXOC,fecxoc_P1_charged_H
FEDQUE,fedque_P1_H
FENVOL,fenvol_P1_charged_H
FEVPED,fevped_P1_H
FEVPIH,fevpih_P1_H
FEWQIJ,fewqij_P1_H
FEWQOP,fewqop_P1_H
FIDLUC,fidluc_P1_charged_H
FIDRIV,fidriv_P1_H
FIFGEI,fifgei_P1_charged_H
FIFPOA,fifpoa_P1_H
FILBAG,filbag_P1_charged_H
FIQCEN,fiqcen_P1_H
FISGOF,fisgof_P1_H
FITJAU,fitjau_P1_charged_H
FITJEY,fitjey_P1_charged_H
FIYDOH,fiydoh_P1_H
FIZPOV,fizpov_P1_H
FIZPUB,fizpub_P1_H
FIZQAI,fizqai_P1_H
FOFDUC,fofduc_P1_H
FORHAY,forhay_P1_H
FORTIR,fortir_P1_H
FORWAL,forwal_P1_charged_H
FOTNIN,fotnin_P1_H
FUNGAZ,fungaz_P1_H
FUTZOK,futzok_P1_H
FUWFIO,fuwfio_P1_H
FUWYAY,fuwyay_P1_H
FUZRID,fuzrid_P1_charged_H
FUZROJ,fuzroj_P1_H
GAGSUF,gagsuf_P1_H
GAGTOA,gagtoa_P1_H
GALLOW,gallow_P1_H
GAMXAV,gamxav_P1_H
GATHIW,gathiw_P1_H
GATQIE,gatqie_P1_H
GAXKOH,gaxkoh_P1_H
GAYXEM,gayxem_P1_H
GAYXIQ,gayxiq_P1_H
GEFZAV,gefzav_P1_H
GEGDED,gegded_P1_H
GEGSIW,gegsiw_P1_H
GELPEV,gelpev_P1_H
GERBEN,gerben_P1_H
GERPUP,gerpup_P1_H
GERWEH,gerweh_P1_H
GERXEJ,gerxej_P1_H
GEVVUB,gevvub_P1_H
GINTEF,gintef_P1_H
GINTIJ,gintij_P1_H
GINTOP,gintop_P1_H
GINWUY,ginwuy_P1_H
GINYAG,ginyag_P1_H
GINYIO,ginyio_P1_H
GIPFAP,gipfap_P1_H
GIRXUC,girxuc_P1_H
GIRYAJ,giryaj_P1_H
GITPIK,gitpik_P1_H
GIWSOX,giwsox_P1_H
GODDIP,goddip_P1_charged_H
GOMQUX,gomqux_P1_H
GOSDEZ,gosdez_P1_H
GOSDID,gosdid_P1_H
GOVHIL,govhil_P1_H
GOVJIN,govjin_P1_H
GUHMIH,guhmih_P1_charged_H
GUKQUZ,gukquz_P1_H
GUKVAK,gukvak_P1_H
GULVUF,gulvuf_P1_H
GULWOA,gulwoa_P1_H
GURTIX,gurtix_P1_H
GUTCEF,gutcef_P1_charged_H
GUTCIJ,gutcij_P1_charged_H
GUXJUF,guxjuf_P1_H
HABQUY,habquy_P1_H
HADXIW,hadxiw_P1_H
HAKVUN,hakvun_P1_charged_H
HAKWAU,hakwau_P1_H
HAMLIT,hamlit_P1_charged_H
HAMXIG,hamxig_P1_H
HANKUE,hankue_P1_charged_H
HANWAW,hanwaw_P1_H
