CSD refcode,CIF filename
BOGNES,bognes_P1_H
BOHJAK,bohjak_P1_H
BOKQEZ,bokqez_P1_H
BOPHIZ,bophiz_P1_charged_H
BOVHEB,bovheb_P1_H
BOWDIC,bowdic_P1_H
BOWDOI,bowdoi_P1_H
BOXFAW,boxfaw_P1_charged_H
BOXFEA,boxfea_P1_charged_H
BOXFOK,boxfok_P1_charged_H
BOZFON,bozfon_P1_H
BUFNEW,bufnew_P1_charged_H
BUFNOG,bufnog_P1_charged_H
BUFNUM,bufnum_P1_charged_H
BUFNUM01,bufnum01_P1_charged_H
BUFNUM02,bufnum02_P1_charged_H
BUFPAU01,bufpau01_P1_charged_H
BUJLOK,bujlok_P1_H
BUJMAX,bujmax_P1_charged_H
BUJMEB,bujmeb_P1_charged_H
BUKRUW01,bukruw01_P1_H
BUKSAD,buksad_P1_H
BUNLAZ,bunlaz_P1_H
BUPKAZ,bupkaz_P1_H
BUPVEP,bupvep_P1_H
BUPVIT,bupvit_P1_H
BUSQIQ,busqiq_P1_H
BUWLUC,buwluc_P1_charged_H
BUWMAJ,buwmaj_P1_charged_H
BUXNOZ,buxnoz_P1_H
CAGSAG,cagsag_P1_H
CAJLEH,cajleh_P1_H
CAJQEL,cajqel_P1_H
CAKXET,cakxet_P1_H
CAKXIX,cakxix_P1_H
CAKXOD,cakxod_P1_H
CAKXUJ,cakxuj_P1_H
CAKYAQ,cakyaq_P1_H
CAKYEU,cakyeu_P1_H
CAKYIY,cakyiy_P1_H
CAQHOU,caqhou_P1_H
CAQKAJ01,caqkaj01_P1_H
CARFOT,carfot_P1_charged_H
CARGUA,cargua_P1_H
CATXAA,catxaa_P1_charged_H
CATZIJ01,catzij01_P1_H
CAVFEN01,cavfen01_P1_H
CAVMOD,cavmod_P1_H
CAVSOJ,cavsoj_P1_H
CAVSUP,cavsup_P1_H
CAVTAW,cavtaw_P1_H
CAXTAY,caxtay_P1_H
CAYKEU,caykeu_P1_H
CAZGOZ,cazgoz_P1_charged_H
CAZNOI,caznoi_P1_charged_H
CEBDOD,cebdod_P1_charged_H
CECKIH,ceckih_P1_charged_H
