CSD refcode,CIF filename
BUWMIR,buwmir_P1_charged
BUXTIZ,buxtiz_P1_charged
BUYNAL,buynal_P1_charged
CACBUG,cacbug_P1_charged
CAFRUX,cafrux_P1_charged
CAHSEN,cahsen_P1_charged
CAHWAN,cahwan_P1_charged
CAJWAN,cajwan_P1_charged
CAQCAZ,caqcaz_P1_charged
CARFEJ,carfej_P1_charged
CARFOT,carfot_P1_charged_H
CATXAA,catxaa_P1_charged_H
CAWDOU,cawdou_P1_charged
CAWDOU02,cawdou02_P1_charged
CAXTUS,caxtus_P1_charged
CAZGOZ,cazgoz_P1_charged_H
CAZNIC,caznic_P1_charged
CAZNOI,caznoi_P1_charged_H
CAZZIP,cazzip_P1_charged
CEBDOD,cebdod_P1_charged_H
CEBSOV,cebsov_P1_charged
CECKIH,ceckih_P1_charged_H
CECKON,ceckon_P1_charged_H
CEFDAU,cefdau_P1_charged
CEJCAW,cejcaw_P1_charged_H
CEKROB,cekrob_P1_charged
CELJUA,celjua_P1_charged
CELNUF,celnuf_P1_charged
CEMJOV,cemjov_P1_charged
CENQAP,cenqap_P1_charged
CETKUK,cetkuk_P1_charged
CETLAR,cetlar_P1_charged
CEVCAK,cevcak_P1_charged
CEVJEV,cevjev_P1_charged
CEZCOC,cezcoc_P1_charged_H
CIDNIM,cidnim_P1_charged_H
CIFLAH,ciflah_P1_charged_H
CIJLIT,cijlit_P1_charged_H
CIMTAV,cimtav_P1_charged_H
CIMTEZ,cimtez_P1_charged_H
CIPREZ,ciprez_P1_charged_H
CIYHOK,ciyhok_P1_charged
COCDAC,cocdac_P1_charged
COCDEG,cocdeg_P1_charged
COKFAK,cokfak_P1_charged
COKMEW,cokmew_P1_charged
COKMIA,cokmia_P1_charged
COKMOG,cokmog_P1_charged
COKMUM,cokmum_P1_charged
COKNAT,coknat_P1_charged
COKNIB,coknib_P1_charged
COKNOH,coknoh_P1_charged
COKNUN,coknun_P1_charged
COKPEZ,cokpez_P1_charged
COKPID,cokpid_P1_charged
COKPOJ,cokpoj_P1_charged
COKPUP,cokpup_P1_charged
COKQAW,cokqaw_P1_charged_H
COKQEA,cokqea_P1_charged
COKQIE,cokqie_P1_charged
COKQOK,cokqok_P1_charged
CONWOU,conwou_P1_charged
CONWUA,conwua_P1_charged
COPBOB,copbob_P1_charged_H
COQHUN,coqhun_P1_charged_H
COQKEB,coqkeb_P1_charged
COTYIV,cotyiv_P1_charged
COWSAL,cowsal_P1_charged_H
COXFOL,coxfol_P1_charged_H
CUBQIB,cubqib_P1_charged_H
CUCFOX,cucfox_P1_charged_H
CUDPOI,cudpoi_P1_charged
CUDPUO,cudpuo_P1_charged
CUDQAV,cudqav_P1_charged
CUDQEZ,cudqez_P1_charged
